aaas:['aaas' 'qualifying' 'mark']
stadium:['stadium' 'parry' 'gerrard']
staff:['staff' 'increases' 'increase']
stam:['stam' 'aaas' 'peace']
stamp:['stamp' 'duty' 'tax']
stan:['stan' 'lee' 'man']
standard:['standard' 'kfb' 'chartered']
standards:['ipv' 'standards' 'make']
star:['star' 'trek' 'series']
start:['wright' 'start' 'phillips']
state:['state' 'alitalia' 'argentine']
statement:['statement' 'advice' 'summary']
states:['states' 'nuclear' 'member']
station:['station' 'visual' 'radio']
staunton:['sideways' 'scorsese' 'martin']
steam:['steam' 'valve' 'accounts']
steel:['steel' 'mittal' 'ore']
stem:['stem' 'people' 'aaas']
stern:['stern' 'show' 'penalty']
steve:['keep' 'steven' 'steve']
steven:['keep' 'steven' 'steve']
still:['laptop' 'still' 'knife']
stock:['stock' 'markets' 'global']
stone:['stone' 'cities' 'urban']
store:['store' 'last' 'rise']
straw:['straw' 'embargo' 'code']
street:['street' 'printers' 'high']
strike:['strike' 'civil' 'wales']
students:['students' 'fees' 'lib']
studio:['studio' 'aaas' 'peel']
subsidies:['subsidies' 'fuel' 'prices']
sullivan:['sullivan' 'ebbers' 'season']
sumitomo:['ufj' 'sumitomo' 'bank']
summary:['summary' 'answer' 'statement']
summer:['keep' 'steven' 'steve']
sun:['sun' 'grid' 'computing']
sundance:['redford' 'sundance' 'aaas']
sunderland:['sunderland' 'murray' 'club']
super:['super' 'bowl' 'year']
suprnova:['suprnova' 'sloncek' 'files']
surface:['surface' 'faster' 'said']
survey:['survey' 'blogs' 'blog']
swank:['swank' 'sideways' 'scorsese']
swansea:['swansea' 'neath' 'cardiff']
switzerland:['switzerland' 'cyprus' 'faroe']
system:['system' 'data' 'jeremiah']
systems:['systems' 'consumers' 'content']
tags:['tags' 'rfid' 'consumers']
take:['staff' 'increases' 'increase']
target:['target' 'waiting' 'months']
targets:['lisbon' 'kok' 'targets']
tata:['tata' 'laser' 'said']
tax:['tax' 'authors' 'cuts']
tb:['tb' 'health' 'would']
tbwa:['tbwa' 'mail' 'campbell']
tci:['tci' 'boerse' 'deutsche']
teachers:['teachers' 'kelly' 'peel']
team:['team' 'medal' 'olympic']
technologies:['technologies' 'gates' 'video']
technology:['technology' 'body' 'uwb']
telcos:['telcos' 'iptv' 'cable']
telecom:['telecom' 'france' 'bn']
telegraph:['telegraph' 'journalists' 'said']
telephone:['numbers' 'telephone' 'scams']
television:['prof' 'reddy' 'television']
telewest:['telewest' 'ntl' 'pvr']
tennis:['connors' 'tennis' 'aaas']
term:['urban' 'term' 'thing']
terror:['terror' 'house' 'would']
terrorism:['terrorist' 'threat' 'freedom']
terrorist:['terrorist' 'threat' 'freedom']
terrorists:['terrorist' 'threat' 'freedom']
tevez:['corinthians' 'brazil' 'tevez']
texas:['texas' 'messages' 'said']
text:['text' 'messages' 'mail']
th:['th' 'magazine' 'gadget']
thanou:['thanou' 'aaas' 'peace']
theatre:['theatre' 'lane' 'outstanding']
thing:['urban' 'term' 'thing']
think:['think' 'keep' 'summer']
thompson:['varga' 'halliwell' 'thompson']
thorpe:['coalition' 'colleagues' 'thorpe']
threat:['terrorist' 'threat' 'freedom']
three:['three' 'gorges' 'aaas']
thunderbirds:['roundabout' 'original' 'screen']
tickets:['tickets' 'peace' 'pcs']
tiebreak:['another' 'serve' 'tiebreak']
time:['time' 'buyers' 'first']
timewarner:['aol' 'timewarner' 'aaas']
title:['title' 'mark' 'aaas']
titles:['casual' 'titles' 'gamers']
tobacco:['tobacco' 'bat' 'government']
tods:['tods' 'mcletchie' 'murray']
told:['told' 'kite' 'mubanga']
top:['top' 'l' 'gene']
tories:['tories' 'morris' 'prime']
tory:['tory' 'cuts' 'howard']
toshack:['toshack' 'giggs' 'united']
toulousain:['toulousain' 'stade' 'peace']
tour:['tour' 'media' 'tournament']
tourism:['tourism' 'aid' 'world']
tourists:['zealand' 'tourists' 'blacks']
tournament:['tournament' 'get' 'prize']
tower:['speed' 'tower' 'lifts']
tps:['tps' 'marketing' 'calls']
trade:['trade' 'bangladesh' 'countries']
traffic:['traffic' 'attack' 'blocking']
trainor:['trainor' 'energy' 'power']
transport:['vehicles' 'transport' 'aaas']
travellers:['travellers' 'councils' 'sites']
treasury:['treasury' 'rules' 'brown']
trek:['star' 'trek' 'series']
tremor:['mouse' 'tremors' 'tremor']
tremors:['mouse' 'tremors' 'tremor']
trial:['trial' 'laws' 'home']
trust:['trust' 'politicians' 'standard']
trusted:['trusted' 'hardware' 'computing']
try:['try' 'ireland' 'italy']
tsunami:['dec' 'tsunami' 'site']
turkcell:['turkcell' 'new' 'aaas']
turkey:['turkey' 'agreement' 'eu']
turkmenistan:['turkmenistan' 'gas' 'price']
tv:['tv' 'programmes' 'want']
two:['two' 'prime' 'minister']
tyranny:['terrorist' 'threat' 'freedom']
tysabri:['tysabri' 'peer' 'peel']
uefa:['uefa' 'aaas' 'peer']
ufj:['ufj' 'sumitomo' 'bank']
uk:['uk' 'films' 'ict']
ukip:['ukip' 'morris' 'kilroy']
ukraine:['ukraine' 'yushchenko' 'mr']
ulster:['ulster' 'munster' 'leinster']
umaga:['lions' 'umaga' 'aaas']
umbro:['umbro' 'aaas' 'peel']
un:['un' 'aaas' 'peel']
underwood:['remote' 'underwood' 'animals']
unemployment:['unemployment' 'december' 'peel']
unilever:['unilever' 'company' 'said']
unit:['fourth' 'ford' 'unit']
united:['united' 'glazer' 'rooney']
university:['university' 'higher' 'areas']
urban:['urban' 'term' 'thing']
us:['us' 'gaming' 'musicians']
usability:['nielsen' 'usability' 'dr']
usada:['usada' 'collins' 'aaas']
use:['use' 'elections' 'ink']
used:['used' 'bot' 'nets']
users:['users' 'skype' 'itunes']
uwb:['uwb' 'intel' 'technology']
v:['v' 'winners' 'seychelles']
vaccine:['vaccine' 'hiv' 'aids']
value:['value' 'donofrio' 'like']
valve:['steam' 'valve' 'accounts']
vantage:['vantage' 'aston' 'car']
varga:['varga' 'halliwell' 'thompson']
vehicles:['vehicles' 'transport' 'aaas']
vera:['drake' 'vera' 'best']
veritas:['veritas' 'robert' 'kilroy']
verizon:['verizon' 'qwest' 'mci']
version:['version' 'browser' 'firefox']
viacom:['viacom' 'aaas' 'peer']
video:['video' 'dating' 'design']
vieira:['neville' 'vieira' 'said']
views:['research' 'views' 'kelly']
villa:['villa' 'leary' 'peer']
villalba:['merrill' 'villalba' 'ms']
viotti:['viotti' 'la' 'fenice']
vioxx:['merck' 'vioxx' 'drug']
virgin:['virgin' 'blue' 'radio']
virus:['virus' 'mail' 'bagle']
viruses:['viruses' 'writers' 'hogan']
visual:['station' 'visual' 'radio']
vivendi:['vivendi' 'aaas' 'peer']
vodafone:['vodafone' 'commission' 'first']
voice:['voice' 'opera' 'aaas']
voip:['wanadoo' 'voip' 'calls']
volley:['another' 'serve' 'tiebreak']
vote:['vote' 'muslim' 'muslims']
voted:['voted' 'come' 'done']
voters:['voters' 'register' 'aaas']
voting:['voting' 'age' 'aaas']
vulnerable:['vulnerable' 'people' 'aaas']
wage:['staff' 'increases' 'increase']
wages:['staff' 'increases' 'increase']
waiting:['waiting' 'target' 'nhs']
wal:['wal' 'mart' 'california']
wales:['wales' 'llewellyn' 'sa']
wanadoo:['wanadoo' 'voip' 'calls']
want:['want' 'lifted' 'embargo']
war:['war' 'cardinal' 'peace']
warcraft:['become' 'warcraft' 'problem']
waste:['waste' 'nuclear' 'aaas']
watch:['watch' 'programmes' 'devices']
water:['aguas' 'water' 'argentinas']
waterreus:['douglas' 'waterreus' 'hartson']
way:['way' 'like' 'life']
web:['web' 'search' 'blinkx']
week:['week' 'global' 'markets']
weitz:['weitz' 'aaas' 'peel']
well:['well' 'past' 'see']
welsh:['welsh' 'assembly' 'arts']
wembley:['wembley' 'gaming' 'us']
wenger:['wenger' 'saturday' 'ferguson']
west:['west' 'hip' 'hop']
white:['white' 'head' 'england']
wi:['wi' 'fi' 'found']
wilkinson:['wilkinson' 'aaas' 'peel']
williams:['williams' 'davenport' 'ospreys']
willis:['willis' 'said' 'aaas']
wilson:['wilson' 'factory' 'peel']
wimbledon:['wimbledon' 'federer' 'open']
wimpey:['wimpey' 'b' 'market']
win:['win' 'open' 'liverpool']
windows:['windows' 'xp' 'pcs']
wine:['wine' 'french' 'aaas']
winner:['winner' 'another' 'tiebreak']
winners:['seychelles' 'winners' 'group']
wins:['staff' 'increases' 'increase']
winter:['winter' 'break' 'hodgson']
wireless:['hotspots' 'wireless' 'wi']
without:['without' 'scams' 'premium']
wmc:['wmc' 'xstrata' 'said']
wolves:['wolves' 'hoddle' 'aaas']
women:['women' 'six' 'play']
wong:['wong' 'software' 'mr']
woodward:['woodward' 'rugby' 'aaas']
woolf:['inquiry' 'judge' 'woolf']
word:['word' 'many' 'blog']
work:['work' 'space' 'departure']
workers:['workers' 'public' 'bangladesh']
workforce:['workforce' 'industry' 'women']
working:['staff' 'increases' 'increase']
world:['world' 'secs' 'cup']
worldcom:['worldcom' 'ebbers' 'accounting']
worm:['worm' 'aaas' 'peer']
would:['would' 'sports' 'robson']
wpp:['wpp' 'aaas' 'peer']
wright:['wright' 'start' 'phillips']
writers:['writers' 'hogan' 'viruses']
wrote:['become' 'warcraft' 'problem']
wto:['wto' 'aaas' 'peer']
xbox:['xbox' 'allard' 'sales']
xp:['xp' 'windows' 'microsoft']
xstrata:['xstrata' 'wmc' 'said']
yachvili:['yachvili' 'barkley' 'hodgson']
yahoo:['yahoo' 'internet' 'web']
year:['year' 'list' 'bowl']
years:['years' 'expectancy' 'life']
yili:['yili' 'aaas' 'peer']
yoran:['yoran' 'cyber' 'division']
york:['york' 'richards' 'marathon']
young:['young' 'drunk' 'mcconnell']
yugansk:['yugansk' 'rosneft' 'gazprom']
yukos:['yukos' 'menatep' 'russian']
yushchenko:['yushchenko' 'ukraine' 'mr']
z:['z' 'jam' 'jay']
zealand:['zealand' 'tourists' 'blacks']
